,SHSE.600023,SHSE.600089,SHSE.600482,SHSE.600489,SHSE.600522,SHSE.600919,SHSE.601021,SHSE.601633,SHSE.601800,SHSE.601901,SHSE.601985,SHSE.601988,SHSE.603993,SZSE.000413,SZSE.000415,SZSE.000709,SZSE.002202,SZSE.002450,SZSE.002594,SZSE.002831
2017-05-17,5.48999977112,10.2299995422,28.8500003815,10.3299999237,10.9300003052,9.27999973297,33.4399986267,12.3400001526,15.8299999237,8.60000038147,7.51999998093,3.61999988556,4.34999990463,10.3800001144,6.59999990463,4.67000007629,14.7100000381,20.1299991608,48.8600006104,72.3899993896
2017-05-18,5.53000020981,9.93999958038,27.7900009155,10.4399995804,10.8999996185,9.13000011444,33.5,12.1300001144,15.4099998474,8.52999973297,7.51000022888,3.6099998951,4.30999994278,10.1999998093,6.51000022888,4.53999996185,14.529999733,19.8400001526,48.3699989319,70.6800003052
2017-05-19,5.55000019073,10.25,28.0799999237,10.2700004578,10.8999996185,9.11999988556,32.5400009155,12.1599998474,14.9399995804,8.52999973297,7.42999982834,3.6099998951,4.32000017166,10.1099996567,6.48999977112,4.59000015259,14.6599998474,19.9500007629,48.5499992371,69.3300018311
2017-05-22,5.59000015259,10.2100000381,27.8400001526,10.0699996948,10.9799995422,9.02999973297,33.9599990845,12.1300001144,14.8400001526,8.61999988556,7.46999979019,3.63000011444,4.23999977112,9.98999977112,6.42000007629,4.46999979019,14.5799999237,19.9799995422,48.3899993896,67.8000030518
2017-05-23,5.65000009537,10.0399999619,25.2999992371,9.89999961853,10.970000267,8.89000034332,33.0400009155,12.2899999619,15.0600004196,8.72999954224,7.48999977112,3.68000006676,4.26000022888,9.80000019073,6.21999979019,4.36999988556,14.6800003052,20.1499996185,48.7900009155,67.2799987793
2017-05-24,5.65999984741,10.1899995804,24.7900009155,9.72999954224,10.9799995422,8.76000022888,34.2000007629,12.3100004196,15.0699996948,8.77000045776,7.5,3.66000008583,4.28999996185,9.93000030518,6.26000022888,4.44000005722,14.6800003052,20.3799991608,48.7999992371,68.4800033569
2017-05-25,5.63999986649,10.2700004578,24.8899993896,9.85999965668,11.1000003815,9.01000022888,34.0299987793,11.8599996567,15.279999733,8.93000030518,7.59000015259,3.70000004768,4.28999996185,9.98999977112,6.46000003815,4.46999979019,14.720000267,20.3400001526,48.75,68.6999969482
2017-05-26,5.65999984741,10.0900001526,24.9500007629,10.0,11.0600004196,8.94999980927,33.9199981689,11.8999996185,15.4200000763,8.92000007629,7.63000011444,3.70000004768,4.23000001907,10.1400003433,6.5,4.46000003815,14.7299995422,20.0100002289,49.1100006104,68.8499984741
2017-05-31,5.71999979019,10.1199998856,24.7700004578,9.97999954224,11.220000267,9.02999973297,33.6599998474,12.0699996948,15.6400003433,9.01000022888,7.71999979019,3.73000001907,4.21000003815,10.1700000763,6.46000003815,4.44000005722,15.1899995804,20.0699996948,49.8499984741,67.9800033569
2017-06-01,5.78999996185,9.64999961853,24.4699993134,9.69999980927,11.3599996567,9.34000015259,34.6399993896,12.25,15.8299999237,9.13000011444,7.80000019073,3.74000000954,4.07000017166,9.76000022888,6.34999990463,4.23000001907,14.970000267,20.0400009155,49.3300018311,66.7799987793
